Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	HQ2200#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
			Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20		
yes	yes	yes	no	no	126	WMFR	NMS	LY	MG	KG	RCB	RCB230829	2020	Canoe Beach	2023-08-29	8:30	3	5	5	3	7					RCB230829	26.5	35.3	6.77	101.7	8.15	3.21	3.34	3.29	3.28	0.020				N	0	2	0	Water a bit brown, lifeguards on ATVs, sand in sample, light breeze, 1-2 ft surf; 4th turbidity taken. Read temperatures at first site 2x and then seemed to stabilize then. 1st temp read = DO: 26.2, SAL: 26.6, and pH: 26.5.
yes	yes	yes	no	no	126	WMFR	NMS	LY	MG	KG	RWA	RWA230829	2021	Wahikuli	2023-08-29	9:04	3	5	5	3	7					RWA230829	26.8	35.0	6.73	101.4	8.18	3.55	3.77	3.79	3.70	0.036				N	0	0	0	More churned up than normal, 1-2 ft surf, 4th turbidity taken, VOC/SVOC sample taken. 
yes	yes	yes	no	no	126	WMFR	NMS	LY	SB	MF	OCO	OCO230829	2028	Camp Olowalu	2023-08-29	9:45	3	5	5	3	7					OCO230829	27.0	36.0	6.58	100.1	8.05	12.80	13.50	13.10	13.13	0.027				N	0	0	0	Slight brown water, 1' surf; 4th turbidity taken
yes	yes	yes	no	no	126	WMFR	NMS	LY	SB	MF	OMM	OMM230829	2029	Mile Marker 14	2023-08-29	10:04	3	5	5	3	7					OMM230829	27.2	35.9	6.42	97.9	8.04	3.24	2.92	3.05	3.07	0.052				N	0	0	0	Calm, clear, 4th turbidity 2.92 (replaced second turbidity value: 3.74 after scanning in datasheets)
yes	yes	yes	no	no	126	LFR	NMS	LY	TC	RS	LMT	LMT230830		Mala Tavern	2023-08-30	7:34	3	5	5	3	7					LMT230830	26.3	35.7	6.69	100.2	8.06	1.89	2.03	1.98	1.97	0.036				N	0	0	0	Read DO 2x for temp; awful smell from garbage nins; immediate area next to sample site isn't burned but mauka is; 4th turbidity taken. Metal sample taken. 
yes	yes	yes	no	no	126	LFR	NMS	LY	TC	RS	LMR	LMR230830		Mala Ramp	2023-08-30	8:23	3	5	5	3	7					LMR230830	25.8	24.2	7.10	99.4	8.20	6.61	8.26	7.17	7.35	0.114				Y	0	0	0	Lots of ash in samples; stream flow is steady; light breeze; DO temp/ salinity temp are spot on. Metal sample taken. 
yes	yes	yes	no	no	126	LFR	NMS	LY	TC	RS	LPS	LPS230830		Papalaua St	2023-08-30	9:00	3	5	5	3	7					LPS230830	26.9	35.2	6.63	100.4	8.11	4.21	5.47	5.04	4.91	0.131				N	0	0	0	Ash in stormdrains; surrounded by burn areas. VOC/SVOC sample taken for WRRC. Metal sample taken. 
yes	yes	yes	no	no	126	LFR	NMS	LY	TC	RS	LLH	LLH230830		Lahaina Harbor	2023-08-30	9:50	3	5	5	3	7					LLH230830	29.3	35.7	5.82	92.0	8.07	1.71	2.38	1.43	1.84	0.265				N	0	0	0	Burn all around area; lots of ash in sample. HACH probes measures made after filtered because of oil contamination. Using turbidity spare vial for this site: Blank Spare vial pre-sampling verification read 0.19 NTU but read 0.05 NTU for post-sampling verification back at lab; Did not filter turbidity samples before testing. VOC/SVOC sample taken for WRRC. Metal sample taken. Metal sample taken. 
yes	yes	yes	no	no	126	LFR	NMS	LY	TC	RS	PFF	PFF230830	2022	505 Front St	2023-08-30	10:40	3	5	5	3	7					PFF230830	29.4	36.1	7.22	115.7	8.10	1.77	2.18	1.75	1.90	0.128				N	0	0	0	Burned area all around except for 505 Front St white building (photo taken). Water looked surprisinginly clear. Foul water pooling in 505 Front St. parking structure. VOC/SVOC sample collected from parking structure. ENT samples taken for Surfrider.
yes	yes	yes	no	no	126	LFR	NMS	LY	TC	RS	PLH	PLH230830	2023	Lindsey Hale	2023-08-30	11:45	3	5	5	3	7					PLH230830	30.5	35.7	6.74	109.7	8.10	8.12	8.44	8.71	8.42	0.035				N	0	0	0	Area so burned, it was difficult to find site. Water brown. Hard to filter nutrient sample. Broke nutrient bottle. ENT samples taken for Surfrider. Metal sample taken. 
yes	yes	yes	no	no	126	LFR	NMS	LY	TC	RS	PLT	PLT230830	2024	Lahaina Town	2023-08-30	12:25	3	5	5	3	7					PLT230830	31.9	35.9	6.70	111.3	8.11	9.59	12.20	9.99	10.59	0.133				N	0	0	0	Large metal debris in water when sampling. ENT samples taken for Surfrider. Metal sample taken. 
yes	yes	yes	no	no	126	WMFR	NMS	LH	LY	LB	RCB	RCB230907	2020	Canoe Beach	2023-09-07	8:35	4	2	6	4	8					RCB230907	26.9	34.7	7.00	105.5	8.13	2.80	2.88	2.69	2.79	0.034				N	0	0	0	Sunny; shorebreak; took temperature twice; 4th turbidity taken 3.45
yes	yes	yes	no	no	126	WMFR	NMS	LH	LY	LB	RWA	RWA230907	2021	Wahikuli	2023-09-07	9:10	4	2	6	4	8					RWA230907	26.5	34.9	6.88	104.1	8.16	3.72	4.08	3.97	3.92	0.047				N	0	0	0	Sunny; shorebreak; brown water; took temperature twice (?)
yes	yes	yes	no	no	126	WMFR	NMS	LH	LY	CH	OCO	OCO230907	2028	Camp Olowalu	2023-09-07	9:50	4	2	6	4	8					OCO230907	27.4	35.3	6.77	103.3	8.04	6.81	6.62	7.05	6.83	0.032				N	0	0	1	Sunny; small shorebreak; breeze picking up after sampling; debris on beach
yes	yes	yes	no	no	126	WMFR	NMS	LH	LY	CH	OMM	OMM230907	2029	Mile Marker 14	2023-09-07	10:10	4	2	6	4	8					OMM230907	27.1	35.1	6.49	98.6	8.00	5.06	5.47	5.30	5.28	0.039				N	2	0	0	Sunny; breezy; shorebreak; no debris
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	LMT	LMT230905		Mala Tavern	2023-09-05	7:22	4	2	6	4	8					LMT230905	26.1	35.0	6.80	101.4	7.99	2.21	1.82	1.66	1.90	0.149				N	0	0	0	Read pH twice to confirm; rot smell from Mala Tavern; tide falling next low will be at 12:39 pm
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	LMR	LMR230905		Mala Ramp	2023-09-05	7:51	4	2	6	4	8					LMR230905	26.7	34.5	6.51	97.6	8.07	5.38	6.52	6.89	6.26	0.126				Y	0	0	0	Water brown; visible ash and debris
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	LPS	LPS230905		Papalaua St	2023-09-05	8:19	4	2	6	4	8					LPS230905	26.7	35.2	6.77	102.1	8.04	2.33	2.72	3.21	2.75	0.160				N	0	0	0	
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	LLH	LLH230905		Lahaina Harbor	2023-09-05	8:44	4	2	6	4	8					LLH230905	27.4	35.0	5.87	89.8	8.08	0.81	0.73	0.78	0.77	0.052				N	0	0	0	Much less oil and ash in harbor and sample water
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	PFF	PFF230905	2022	505 Front St	2023-09-05	9:13	4	2	6	4	8					PFF230905	27.7	35.3	6.68	103.3	8.11	2.51	3.27	2.83	2.87	0.133				N	0	0	0	Small shorebreak; sunny; no clouds; light breeze; same amount of water in flooded parking lot as last week
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	PLH	PLH230905	2023	Lindsey Hale	2023-09-05	9:55	4	2	6	4	8					PLH230905	28.4	35.1	6.49	101.3	8.06	19.00	22.20	22.00	21.07	0.085				N	0	0	0	Brown water; fine sediment; sand in sample; multiple schools of fish; 4th turbidity taken 16.4
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	PLT	PLT230905	2024	Lahaina Town	2023-09-05	10:16	4	2	6	4	8					PLT230905	28.7	34.7	6.52	101.8	8.06	61.40	61.10	59.20	60.57	0.020				N	0	0	0	Extremely brown water; lots of large debris in water near sample collection
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	LMT	LMT230914		Mala Tavern	2023-09-14	7:33	4	2	6	4	8					LMT230914	26.2	34.6	6.73	100.3	7.97	1.29	1.22	1.54	1.35	0.125				Y	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am; trickle of water inflow from storm drain
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	LMR	LMR230914		Mala Ramp	2023-09-14	7:57	4	2	6	4	8					LMR230914	26.9	34.3	6.35	95.5	8.08	3.07	3.35	3.90	3.44	0.123				Y	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am; stream flowing; boom replaced; sunny; hot; light breeze just starting
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	LPS	LPS230914		Papalaua St	2023-09-14	8:19	4	2	6	4	8					LPS230914	27.0	34.6	6.62	100.2	8.09	3.61	3.58	4.07	3.75	0.073				N	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	LLH	LLH230914		Lahaina Harbor	2023-09-14	8:45	4	2	6	4	8					LLH230914	27.9	35.1	6.17	95.2	8.10	0.52	0.66	0.76	0.65	0.186				N	0	5	0	Sprinkles of rain along West Maui; low tide at 7:52 am; US Coast Guard surveying for deris removal; only slight oil sheen on harbor water surface
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	PFF	PFF230914	2022	505 Front St	2023-09-14	9:10	4	2	6	4	8					PFF230914	27.6	35.0	6.90	105.8	8.08	0.96	1.05	1.19	1.07	0.109				N	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	PLH	PLH230914	2023	Lindsey Hale	2023-09-14	9:35	4	2	6	4	8					PLH230914	28.1	34.7	6.69	103.6	8.05	2.33	2.24	2.11	2.23	0.050				N	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	PLT	PLT230914	2024	Lahaina Town	2023-09-14	9:50	4	2	6	4	8					PLT230914	28.5	34.5	6.47	100.4	8.05	3.76	4.22	4.06	4.01	0.058				N	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am; monk seal; less visible turbidity; hot outside
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	LMT	LMT230921		Mala Tavern	2023-09-21	7:31	3	5	5	3	7					LMT230921	26.4	35.4	6.57	98.6	7.98	1.69	1.83	1.64	1.72	0.057				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF; Higher/bigger shorebreak; turtles in the water; cloud cover; 4th turbidity taken 4.03; 5th turbidity taken 2.79
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	LMR	LMR230921		Mala Ramp	2023-09-21	8:14	3	5	5	3	7					LMR230921	26.6	35.2	6.18	93.2	8.05	3.74	4.10	4.68	4.17	0.114				Y	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF; Small stream flow about 3 ft wide
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	LPS	LPS230921		Papalaua St	2023-09-21	8:38	3	5	5	3	7					LPS230921	26.4	35.7	6.36	95.9	8.02	3.98	4.78	4.09	4.28	0.101				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF;  Wind picking up then died down again; some swell coming in
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	LLH	LLH230921		Lahaina Harbor	2023-09-21	9:05	3	5	5	3	7					LLH230921	27.2	35.7	5.73	87.7	8.08	0.68	0.61	0.65	0.65	0.054				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF;  New booms around the harbor perimeter next to water; USCG excavating debris from harbor water
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	PFF	PFF230921	2022	505 Front St	2023-09-21	9:38	3	5	5	3	7					PFF230921	26.9	36.0	6.32	96.5	8.12	2.65	2.81	2.70	2.72	0.030				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF;  Flooding in parking lot looks the same, maybe some receding; photo taken; water brown at shoreline; cloud cover; 4th turbidity taken 4.29
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	PLH	PLH230921	2023	Lindsey Hale	2023-09-21	10:01	3	5	5	3	7					PLH230921	26.7	35.7	6.34	96.3	8.10	17.50	17.20	16.80	17.17	0.020				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF; water very brown; sunny
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	PLT	PLT230921	2024	Lahaina Town	2023-09-21	10:29	3	5	5	3	7					PLT230921	27.2	35.3	6.26	96.2	8.04	25.60	31.20	29.70	28.83	0.101				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF; very brown water; Hawaii Electric Co. doing work/excavation next to mobile lab
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	KG	RCB	RCB230922	2020	Canoe Beach	2023-09-22	8:25	3	5	5	3	7					RCB230922	26.2	35.6	6.75	101.2	8.16	2.45	2.67	2.66	2.59	0.048				N	0	3	0	Rocky beach; small rolling rocks coming back; calm day; sprinkling; onshore breezy
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	KG	RWA	RWA230922	2021	Wahikuli	2023-09-22	9:00	3	5	5	3	7					RWA230922	26.7	35.8	6.57	99.4	8.16	0.62	0.59	0.67	0.63	0.064				N	0	0	0	Rotten egg/sulfur smell within 100 ft; light wave action; breezy
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	MG	OCO	OCO230922	2028	Camp Olowalu	2023-09-22	9:34	3	5	5	3	7					OCO230922	25.6	35.9	6.56	97.8	8.04	7.49	8.11	7.85	7.82	0.040				N	0	0	0	Breezy; seems like high tide
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	MG	OMM	OMM230922	2029	Mile Marker 14	2023-09-22	9:54	3	5	5	3	7					OMM230922	26.3	36.0	5.95	89.7	8.02	3.07	3.10	2.95	3.04	0.026				N	0	1	2	Windy; calm
yes	yes	yes	no	no	128	LFR	NMS	LY	CK	JK	LMT	LMT231005		Mala Tavern	2023-10-05	7:33	3	5	5	3	7					LMT231005	26.3	35.0	6.55	97.6	8.06	2.84	2.07	2.17	2.36	0.177				N	0	0	0	High tide at 8:49 am at 2.2 ft; turbidity particulates floating; 4th turbidity taken 1.59
yes	yes	yes	no	no	128	LFR	NMS	LY	CK	JK	LMR	LMR231005		Mala Ramp	2023-10-05	8:02	3	5	5	3	7					LMR231005	26.6	35.5	6.11	92.2	8.09	4.70	4.71	5.28	4.90	0.068				Y	0	0	0	High tide at 8:49 am at 2.2 ft; Eagle rays; brown water with sand and charred particles; no wind; no shade; 4th turbidity taken 5.71
yes	yes	yes	no	no	128	LFR	NMS	LY	CK	JK	LPS	LPS231005		Papalaua St	2023-10-05	8:33	3	5	5	3	7					LPS231005	26.4	35.8	6.36	96.1	8.06	2.57	2.78	2.46	2.60	0.062				N	0	0	0	High tide at 8:49 am at 2.2 ft; Light wave action; water not clear
yes	yes	yes	no	no	128	LFR	NMS	LY	CK	JK	LLH	LLH231005		Lahaina Harbor	2023-10-05	9:02	3	5	5	3	7					LLH231005	27.6	35.8	5.78	89.1	8.13	0.96	1.03	1.06	1.02	0.050				N	0	4	0	High tide at 8:49 am at 2.2 ft; barge removing boats to clean harbor; lots of USCG members; 4th/5th turbidity taken 1.20/1.24
yes	yes	yes	no	no	128	LFR	NMS	LY	CK	JK	PFF	PFF231005	2022	505 Front St	2023-10-05	9:49	3	5	5	3	7					PFF231005	28.1	36.1	6.47	100.8	8.16	1.31	1.25	1.61	1.39	0.139				N	0	0	0	High tide at 8:49 am at 2.2 ft; using spare turbidity bottle for rest of day; used GPS coordinates from site code page; 4th turbidity taken 2.59
yes	yes	yes	no	no	128	LFR	NMS	LY	CK	JK	PLH	PLH231005	2023	Lindsey Hale	2023-10-05	10:41	3	5	5	3	7					PLH231005	28.3	35.8	6.30	98.5	8.12	11.80	12.50	11.90	12.07	0.031				N	0	0	0	High tide at 8:49 am at 2.2 ft; brown water; whiite flaking particulates; 4th turbidity taken 13.9
yes	yes	yes	no	no	128	LFR	NMS	LY	CK	JK	PLT	PLT231005	2024	Lahaina Town	2023-10-05	11:06	3	5	5	3	7					PLT231005	28.6	35.2	5.81	91.0	8.07	47.40	45.70	49.30	47.47	0.038				N	0	0	0	High tide at 8:49 am at 2.2 ft; crew shredding/chipping branches on. Front Street near site; very brown water; sapre turbidity post verification=0.05 NTU; 4th/5th turbidity taken 38.5/39.3
yes	yes	yes	no	no	129	LFR	NMS	LY	CK	JK	LMT	LMT231027		Mala Tavern	2023-10-27	7:45	3	5	5	3	7					LMT231027	26.6	35.9	6.64	100.3	8.09	1.68	1.97	1.98	1.88	0.091				N	0	0	0	ENT sample taken for Surfrider BWTF. Turbidity 4th = 1.98, 5th = 1.68. Post verfication turbidity was >0.1 three times.
yes	yes	yes	no	no	129	LFR	NMS	LY	CK	JK	LMR	LMR231027		Mala Ramp	2023-10-27	8:10	3	5	5	3	7					LMR231027	26.8	35.8	6.34	96.4	8.10	5.61	5.61	5.24	5.49	0.039				Y	5	0	0	ENT sample taken for Surfrider BWTF. Mala Ramp open to boaters. Trickle in stream, not flowing all the way to ocean. Post verfication turbidity was >0.1 three times.
yes	yes	yes	no	no	129	LFR	NMS	LY	CK	JK	LPS	LPS231027		Papalaua St	2023-10-27	8:28	3	5	5	3	7					LPS231027	26.5	35.8	6.65	100.6	8.08	3.17	2.99	2.87	3.01	0.050				N	0	0	0	ENT sample taken for Surfrider BWTF. Algae in sample; some swell out at the break; partly cloudy; low tide. Post verfication turbidity was >0.1 three times.
yes	yes	yes	no	no	129	LFR	NMS	LY	CK	JK	LLH	LLH231027		Lahaina Harbor	2023-10-27	8:55	3	5	5	3	7					LLH231027	27.9	35.3	5.92	91.4	8.07	4.89	4.58	4.49	4.65	0.045				N	0	0	0	ENT sample taken for Surfrider BWTF. Slick and ash visible in sample. Low tide. Post verfication turbidity was >0.1 three times.
yes	yes	yes	no	no	129	LFR	NMS	LY	CK	JK	PFF	PFF231027	2022	505 Front St	2023-10-27	9:27	3	5	5	3	7					PFF231027	27.6	35.9	6.56	101.7	8.13	4.98	4.99	4.76	4.91	0.026				N	0	0	0	ENT sample taken for Surfrider BWTF. Spare turbidity vile used after Lahaina harbor. Low tide. Low swell. Light breeze. Post verfication turbidity was >0.1 three times.
yes	yes	yes	no	no	129	LFR	NMS	LY	CK	JK	PLH	PLH231027	2023	Lindsey Hale	2023-10-27	9:52	3	5	5	3	7					PLH231027	28.4	35.6	6.46	100.7	8.12	4.16	3.57	4.14	3.96	0.085				N	0	0	0	ENT sample taken for Surfrider BWTF. Spare turbidity vile used after Lahaina harbor. Low tide. Pretty clear water than usual. Sediment layer under feet. Post verfication turbidity was >0.1 three times.
yes	yes	yes	no	no	129	LFR	NMS	LY	CK	JK	PLT	PLT231027	2024	Lahaina Town	2023-10-27	10:15	3	5	5	3	7					PLT231027	29.0	35.3	6.25	98.6	8.10	6.23	6.27	5.98	6.16	0.026				N	0	0	0	ENT sample taken for Surfrider BWTF. Spare turbidity vile used after Lahaina harbor. Low tide. Dark brown/black particles/debris in shoreline. Brown water 3ft into shoreline, then way more clear than usual at knee depth. Sediment under feet. Post verfication turbidity was >0.1 three times. 
yes	yes	yes	no	no	130	LFR	NMS	CK	JE	TC	LMT	LMT231115		Mala Tavern	2023-11-15	7:05	3	5	5	3	7					LMT231115	24.6	34.8	6.58	95.2	8.07	4.55	4.13	4.30	4.33	0.049				Unknown	0	0	0	high tide, slight breeze, sunny, unknown if fresh water flow due to tide
yes	yes	yes	no	no	130	LFR	NMS	CK	JE	TC	LMR	LMR231115		Mala Ramp	2023-11-15	7:35	3	5	5	3	7					LMR231115	23.8	30.3	6.64	92.7	8.16	7.63	6.32	6.86	6.94	0.095				Y	0	0	0	light breeze, calm water, corrected turb readings after noticing wrong cell used originally
yes	yes	yes	no	no	130	LFR	NMS	CK	JE	TC	LPS	LPS231115		Papalaua St	2023-11-15	8:16	3	5	5	3	7					LPS231115	24.8	35.8	6.76	98.8	8.13	2.24	2.15	2.53	2.31	0.086				Unknown	0	0	0	small swell, calm, clear skies, 4th Turb 2.53
yes	yes	yes	no	no	130	LFR	NMS	CK	JE	TC	LLH	LLH231115		Lahaina Harbor	2023-11-15	8:30	3	5	5	3	7					LLH231115	25.4	35.7	6.28	92.7	8.15	1.16	1.04	1.10	1.10	0.055				N	0	0	0	calm water, sunny, floating black particles in water
