aqualink_site_id,Date,Time,Temp,Salinity,DO,DO_sat,pH,Turbidity,TotalN,TotalP,Phosphate,Silicate,NNN,NH4
3608,06/16/16,08:20,25.4,27.7,6.61,97.8,7.91,5.48,107.57,15.37,7.28,451.55,7.11,8.69
3608,06/30/16,08:00,27.1,29.1,6.08,92.7,8.01,2.61,62.48,15.76,5.35,396.39,2.73,3.12
3608,07/14/16,08:37,27.6,36.9,5.92,92.1,7.96,4.21,65.68,15.90,6.58,452.22,3.83,3.08
3608,07/28/16,08:15,26.8,35.4,5.83,88.6,7.99,3.18,70.46,10.01,6.42,261.28,3.33,6.30
3608,08/11/16,08:30,26.6,35.4,6.12,92.7,8.04,5.87,74.31,12.79,5.42,302.71,3.50,3.26
3608,08/25/16,08:00,27.4,36.0,5.60,86.2,7.94,3.63,62.23,12.75,5.12,280.11,5.63,1.66
3608,09/08/16,08:00,26.6,35.9,6.31,96.0,8.09,9.39,59.11,11.34,5.15,189.13,4.15,2.10
3608,09/22/16,08:21,27.0,36.1,6.40,98.0,7.93,13.80,74.95,13.51,6.54,270.22,6.28,13.77
3608,10/06/16,08:15,26.7,35.0,6.08,92.1,8.02,6.72,59.98,13.14,5.31,250.59,5.07,2.87
3608,10/20/16,08:00,25.4,36.6,5.86,87.8,8.01,5.47,83.49,12.00,6.11,291.78,4.95,7.48
3608,11/03/16,08:00,24.9,34.8,6.00,87.9,8.08,3.25,57.79,14.48,5.13,216.37,3.16,3.08
3608,11/17/16,08:25,24.5,34.4,6.00,87.1,8.04,4.28,58.76,4.58,3.62,365.31,7.98,1.50
3608,12/01/16,08:00,23.4,34.6,6.12,87.4,8.07,4.52,75.00,7.87,3.97,272.05,6.58,4.13
3608,12/15/16,08:45,25.1,34.3,5.96,87.9,7.97,1.75,62.18,9.84,3.87,320.26,12.41,4.04
3608,01/05/17,07:30,23.6,35.2,6.16,88.6,#N/A,5.83,75.42,9.68,5.21,273.05,9.83,2.27
3608,01/26/17,08:12,22.6,35.0,6.27,88.2,8.05,2.85,73.14,15.07,7.64,201.91,7.83,7.38
3608,02/17/17,08:00,25.6,35.1,5.63,83.3,8.05,2.14,88.27,10.18,5.93,168.59,9.16,8.67
3608,03/09/17,08:05,25.4,34.4,5.83,85.8,8.06,2.38,69.96,7.90,5.19,189.55,8.49,7.27
3608,03/30/17,08:05,25.9,34.2,6.27,92.9,8.03,6.34,64.89,7.35,5.64,256.49,6.94,5.75
3608,04/20/17,07:50,26.3,33.9,6.19,92.5,8.02,12.60,88.28,9.53,7.38,527.84,7.43,5.56
3608,05/11/17,08:05,24.9,33.9,6.47,94.7,8.10,2.22,60.93,8.69,5.35,355.94,3.89,2.60
3608,06/01/17,08:05,26.0,34.7,5.87,87.7,8.06,4.07,62.55,6.53,4.96,233.74,4.74,3.37
3608,06/22/17,08:10,25.7,33.9,6.20,92.1,8.01,5.01,72.34,10.18,8.02,514.52,8.14,3.99
3608,07/13/17,07:55,26.9,34.4,5.77,87.6,8.04,3.77,58.96,7.98,4.99,256.80,7.65,1.92
3608,08/03/17,07:58,27.8,34.4,5.56,85.6,8.01,3.56,76.61,7.74,5.55,284.54,4.90,2.44
3608,08/24/17,08:11,25.9,35.2,6.05,90.7,8.04,4.13,70.69,7.68,5.74,255.03,4.29,2.34
3608,09/14/17,07:52,28.5,34.8,5.63,88.0,7.98,3.94,46.44,15.63,5.60,350.75,3.82,3.82
3608,10/05/17,07:52,25.7,34.5,5.99,89.1,8.02,7.86,55.52,11.76,6.59,446.73,5.82,2.18
3608,10/26/17,07:51,26.8,34.5,5.45,82.7,7.96,5.25,95.68,33.36,9.81,462.27,12.06,9.19
3608,11/16/17,07:50,24.0,35.0,5.83,84.5,8.07,2.61,88.47,16.10,5.80,271.72,5.00,8.50
3608,12/07/17,07:47,24.2,35.0,6.07,87.9,8.11,3.32,69.35,14.00,4.99,201.13,5.20,7.13
3608,12/21/17,09:04,24.2,34.6,5.87,85.4,8.00,4.34,84.78,11.14,6.42,351.61,17.28,2.74
3608,01/11/18,07:46,23.9,34.4,6.29,90.3,8.09,1.14,82.57,7.79,3.60,214.40,5.78,3.47
3608,02/01/18,07:44,25.1,34.5,6.26,92.5,8.07,4.38,86.10,9.83,5.18,358.08,12.66,2.85
3608,02/22/18,08:02,24.6,34.4,5.90,85.7,8.03,3.26,59.57,10.57,4.80,355.88,5.04,2.18
3608,03/15/18,07:45,24.3,34.2,6.34,91.8,8.01,8.70,71.70,8.60,5.75,500.72,10.69,1.51
3608,04/05/18,07:42,26.4,33.7,5.52,82.7,8.03,2.52,68.04,9.37,5.40,470.80,5.26,2.26
3608,04/26/18,07:47,24.4,33.9,6.08,88.0,8.08,1.57,80.60,7.12,4.54,287.82,3.80,1.85
3608,05/17/18,08:01,27.2,34.2,5.89,89.7,8.03,2.27,81.76,12.99,6.23,349.56,8.52,1.75
3608,06/07/18,07:57,25.3,34.1,5.70,83.9,8.03,2.12,63.88,6.81,5.63,248.72,4.74,2.28
3608,05/03/23,10:39,27.9,35.5,6.92,107.2,8.08,2.28,76.42,5.60,3.85,375.74,3.30,6.80
3608,05/24/23,09:50,26.3,35.1,6.45,96.9,8.07,1.50,96.56,5.50,2.06,357.87,4.41,3.87
3608,06/14/23,10:04,26.6,35.2,6.27,94.4,8.09,2.30,76.47,5.40,3.79,378.69,2.29,4.18
3608,07/05/23,09:53,26.8,36.0,6.00,91.0,8.08,1.39,99.59,3.99,3.09,333.85,4.28,4.69
3608,07/26/23,10:13,27.6,35.4,6.24,95.7,8.02,4.72,91.64,5.27,2.76,343.87,3.56,2.61
3608,08/16/23,09:24,26.9,35.6,5.94,90.2,8.04,1.63,114.01,3.71,3.13,366.16,4.24,3.50
3608,08/29/23,10:04,27.2,35.9,6.42,97.9,8.04,3.07,107.04,5.72,5.00,368.55,3.64,3.66
3608,09/07/23,10:10,27.1,35.1,6.49,98.6,8.00,5.28,102.48,6.53,5.39,428.34,2.24,2.24
3608,09/13/23,09:32,27.0,35.9,6.19,94.4,8.04,2.01,78.06,6.55,4.17,333.64,3.31,2.32
3608,09/22/23,09:54,26.3,36.0,5.95,89.7,8.02,3.04,84.64,5.59,2.09,202.07,5.15,0.91
3608,10/04/23,09:31,28.2,35.5,5.93,92.1,7.95,3.75,76.91,4.44,4.42,350.53,4.38,1.24
3608,10/25/23,09:38,27.9,35.8,5.89,90.7,7.98,3.95,76.85,4.32,2.68,322.16,4.87,3.77
3608,11/15/23,09:35,24.5,35.9,6.08,88.5,8.03,1.57,77.38,5.05,2.58,162.03,5.36,2.34
3608,12/06/23,09:37,25.4,35.8,6.39,94.7,8.03,4.14,81.37,8.82,4.85,309.51,5.59,1.76
3608,01/10/24,09:46,25.2,34.8,5.23,77.0,7.91,6.83,147.33,13.11,10.21,491.65,46.98,10.06
3608,01/31/24,09:30,25.5,35.8,6.47,95.9,8.01,18.57,71.54,9.94,8.08,404.60,16.20,1.73
3608,02/21/24,09:38,24.2,36.6,6.47,93.8,7.97,1.76,92.14,9.53,4.06,267.55,7.65,4.31
3608,03/13/24,09:38,25.3,36.1,6.54,96.9,8.05,4.72,79.82,8.20,5.64,348.56,6.27,1.49
3608,04/03/24,09:44,24.5,36.9,6.42,93.9,8.03,1.86,78.19,4.09,3.12,256.40,2.62,0.70
3608,04/24/24,09:34,24.0,36.3,7.12,103.1,8.10,1.87,88.27,195.18,3.35,295.02,3.30,1.80
3608,05/15/24,09:40,27.2,36.0,6.30,96.3,7.95,5.42,75.57,7.39,4.49,269.54,4.50,1.20
3608,06/05/24,09:38,27.1,35.7,7.00,106.3,8.03,2.38,89.71,5.80,4.92,318.13,6.14,3.86
3608,06/26/24,09:43,26.7,36.0,6.23,94.3,8.04,2.67,,,,,,
